atom,value
H,72.8
He,0
Li,59.6
Be,0
B,26.7
C,153.9
N,7
O,141
F,328
Ne,0
Na,52.8
Mg,0
Al,42.5
Si,133.6
P,72
S,200
Cl,349
Ar,0
K,48.4
Ca,2.37
Sc,18.1
Ti,7.6
V,50.6
Cr,64.3
Mn,0
Fe,15.7
Co,63.7
Ni,112
Cu,118.4
Zn,0
Ga,28.9
Ge,119
As,78
Se,195
Br,324.6
Kr,0
Rb,46.9
Sr,5.03
Y,29.6
Zr,41.1
Nb,86.1
Mo,71.9
Tc,53
Ru,101.3
Rh,109.7
Pd,53.7
Ag,125.6
Cd,0
In,28.9
Sn,107.3
Sb,103.2
Te,190.2
I,295.2
Xe,0
Cs,45.5
Ba,13.95
La,48
Ce,50
Pr,50
Nd,50
Pm,50
Sm,50
Eu,50
Gd,50
Tb,50
Dy,50
Ho,50
Er,50
Tm,50
Yb,50
Lu,50
Hf,0
Ta,31
W,78.6
Re,14.5
Os,106.1
Ir,151
Pt,205.3
Au,222.8
Hg,0
Tl,19.2
Pb,35.1
Bi,91.2
Po,183.3
At,270.1
Rn,0
Fr,0
Ra,0
Ac,0
Th,0
Pa,0
U,0
Np,0
Pu,0
Am,0
Cm,0
Bk,0
Cf,0
Es,0
Fm,0
Md,0
No,0
Lr,0
