atom,value
H,1.1
He,1.4
Li,1.81
Be,1.53
B,1.92
C,1.7
N,1.55
O,1.52
F,1.47
Ne,1.54
Na,2.27
Mg,1.73
Al,1.84
Si,2.1
P,1.8
S,1.8
Cl,1.75
Ar,1.88
K,2.75
Ca,2.31
Sc,2.3
Ti,2.15
V,2.05
Cr,2.05
Mn,2.05
Fe,2.05
Co,2
Ni,2
Cu,2
Zn,2.1
Ga,1.87
Ge,2.11
As,1.85
Se,1.9
Br,1.83
Kr,2.02
Rb,3.03
Sr,2.49
Y,2.4
Zr,2.3
Nb,2.15
Mo,2.1
Tc,2.05
Ru,2.05
Rh,2
Pd,2.05
Ag,2.1
Cd,2.2
In,2.2
Sn,1.93
Sb,2.17
Te,2.06
I,1.98
Xe,2.16
Cs,3.43
Ba,2.68
La,2.5
Ce,2.48
Pr,2.47
Nd,2.45
Pm,2.43
Sm,2.42
Eu,2.4
Gd,2.38
Tb,2.37
Dy,2.35
Ho,2.33
Er,2.32
Tm,2.3
Yb,2.28
Lu,2.27
Hf,2.25
Ta,2.2
W,2.1
Re,2.05
Os,2
Ir,2
Pt,2.05
Au,2.1
Hg,2.05
Tl,1.96
Pb,2.02
Bi,2.07
Po,1.97
At,2.02
Rn,2.2
Fr,3.48
Ra,2.83
Ac,2
Th,2.4
Pa,2
U,2.3
Np,2
Pu,2
Am,2
Cm,2
Bk,2
Cf,2
Es,2
Fm,1.3
Md,1.3
No,1.3
Lr,1.3
